linha,latitude',longitude,pc_id,pc_sequencia
BEM X ARE,-22.1417383333,-43.0968633333,565,1
BEM X ARE,-22.23554,-43.1021766667,453,4
BEM X ARE,-22.1417383333,-43.0968633333,565,1
BEM X ARE,-22.1540966667,-43.098955,566,2
BEM X ARE,-22.2048366667,-43.0958466667,571,3
BEM X ARE,-22.23554,-43.1021766667,453,4
NIG X TRS,-22.75699,-43.45591,131,1
NIG X TRS,-22.64607,-43.7110383333,125,5
NIG X TRS,-22.7164183333,-43.7169533333,127,3
NIG X TRS,-22.75699,-43.45591,131,1
NIG X TRS,-22.74852,-43.4425966667,133,2
NIG X TRS,-22.7001333333,-43.751115,135,4
NIG X TRS,-22.6171183333,-43.7146933333,137,7
NIG X TRS,-22.3986483333,-43.6561583333,139,35
NIG X TRS,-22.39123,-43.6505166667,140,36
NIG X TRS,-22.33117,-43.54427,141,37
NIG X TRS,-22.325435,-43.535295,142,38
NIG X TRS,-22.3099283333,-43.5048116667,143,39
NIG X TRS,-22.2466683333,-43.426875,144,40
NIG X TRS,-22.6337883333,-43.71019,177,6
NIG X TRS,-22.1153966667,-43.1978466667,158,53
BMA X JDF COM AC,-22.5453933333,-44.1693483333,112,1
BMA X JDF COM AC,-22.0573933333,-43.2070533333,207,54
BMA X JDF COM AC,-22.4573883333,-43.8428516667,252,14
BMA X JDF COM AC,-22.4632066667,-43.826365,418,19
BMA X JDF COM AC,-21.738605,-43.3740583333,219,62
JDF x BMA S-DIR AC,-21.738605,-43.3740583333,219,1
JDF x BMA S-DIR AC,-22.1086416667,-43.2253,439,15
JDF x BMA S-DIR AC,-22.1049866667,-43.2163866667,440,14
JDF x BMA S-DIR AC,-22.1217033333,-43.2322666667,441,16
JDF x BMA S-DIR AC,-22.5453933333,-44.1693483333,112,65
JDF X TRS COM,-21.738605,-43.3740583333,219,1
JDF X TRS COM,-22.0339816667,-43.2191416667,231,20
JDF X TRS COM,-22.0573933333,-43.2070533333,232,21
JDF X TRS COM,-22.0844566667,-43.2174533333,233,22
JDF X TRS COM,-22.098955,-43.216145,234,23
JDF X TRS COM,-21.7913716667,-43.3052633333,478,5
JDF X TRS COM,-21.7783533333,-43.3250616667,479,4
JDF X TRS COM,-21.7616633333,-43.3405083333,481,2
JDF X TRS COM,-21.7731383333,-43.329445,482,3
JDF X TRS COM,-21.8393983333,-43.3171466667,484,6
JDF X TRS COM,-21.8597516667,-43.3094883333,485,7
JDF X TRS COM,-21.8757033333,-43.3221466667,486,8
JDF X TRS COM,-21.8831833333,-43.3287583333,487,9
JDF X TRS COM,-21.9112683333,-43.3396916667,488,10
JDF X TRS COM,-21.92641,-43.3185466667,489,11
JDF X TRS COM,-21.9340383333,-43.3138916667,490,12
JDF X TRS COM,-21.959745,-43.3184383333,491,13
JDF X TRS COM,-21.9693466667,-43.3145083333,492,14
JDF X TRS COM,-22.0148633333,-43.309765,493,15
JDF X TRS COM,-22.02111,-43.29674,531,17
JDF X TRS COM,-22.01346,-43.2694433333,532,18
JDF X TRS COM,-22.0100333333,-43.2646166667,533,19
JDF X TRS COM,-22.0189216667,-43.2957166667,535,16
JDF X TRS COM,-22.1153966667,-43.1978466667,158,25
TRS X PDS URB,-22.1153966667,-43.1978466667,158,1
TRS X PDS URB,-22.1635233333,-43.29211,443,8
LEP X ALP,-21.5325633333,-42.634595,286,1
LEP X ALP,-21.8707783333,-42.6685683333,276,19
LEP X ALP,-21.5325633333,-42.634595,286,1
LEP X ALP,-21.53894,-42.6431783333,360,2
LEP X ALP,-21.5424166667,-42.6552016667,361,3
LEP X ALP,-21.5456916667,-42.659695,362,4
LEP X ALP,-21.5508033333,-42.670565,363,5
LEP X ALP,-21.571675,-42.67962,364,6
LEP X ALP,-21.595975,-42.689525,365,7
LEP X ALP,-21.6144316667,-42.6919983333,366,8
LEP X ALP,-21.63693,-42.6979416667,367,9
LEP X ALP,-21.638605,-42.7101366667,368,10
LEP X ALP,-21.67062,-42.7326783333,369,11
LEP X ALP,-21.684445,-42.7310666667,370,12
LEP X ALP,-21.7189933333,-42.7293933333,371,13
LEP X ALP,-21.7281116667,-42.7301083333,372,14
LEP X ALP,-21.8236883333,-42.6852633333,373,15
LEP X ALP,-21.8450466667,-42.67261,374,16
LEP X ALP,-21.860275,-42.66449,375,17
LEP X ALP,-21.8636283333,-42.6726516667,376,18
LEP X ALP,-21.8814833333,-42.6938116667,378,20
LEP X ALP,-21.8814833333,-42.6938116667,378,20
FAC PET,-22.1144716667,-43.2057083333,442,1
FAC PET,-22.5108866667,-43.1843333333,554,2
FAC PET,-22.507045,-43.1678833333,555,3
FAC PET,-22.507045,-43.1678833333,555,3
FAC VAL,-22.1144716667,-43.2057083333,442,1
FAC VAL,-22.2434466667,-43.70847,556,2
FAC VAL,-22.2434466667,-43.70847,556,2
FAC PET ESTACIO,-22.5071666667,-43.1942533333,576,1
FAC PET ESTACIO,-22.5071666667,-43.1942533333,576,1
FAC PET ESTACIO,-22.5071666667,-43.1942533333,576,1
ALP X TRS,-21.8814833333,-42.6938116667,378,1
ALP X TRS,-21.8773183333,-42.6680233333,379,3
ALP X TRS,-21.88774,-42.6982583333,380,5
ALP X TRS,-21.89715,-42.7172333333,381,6
ALP X TRS,-21.992425,-42.90971,382,10
ALP X TRS,-21.996995,-42.9180416667,383,11
ALP X TRS,-22.0008,-42.92794,384,12
ALP X TRS,-22.0470433333,-42.9987933333,385,16
ALP X TRS,-22.0431733333,-43.0054633333,386,17
ALP X TRS,-22.05192,-43.0209666667,387,18
ALP X TRS,-22.0567766667,-43.0265316667,388,19
ALP X TRS,-22.0925616667,-43.0684833333,389,22
ALP X TRS,-22.0995083333,-43.0749366667,390,23
ALP X TRS,-22.0308883333,-42.9837333333,410,14
ALP X TRS,-22.0411083333,-42.9921883333,411,15
ALP X TRS,-22.1153966667,-43.1978466667,158,29
BMA X JDF DIR AC,-22.5453933333,-44.1693483333,112,1
BMA X JDF DIR AC,-22.4515083333,-43.8238266667,175,18
BMA X JDF DIR AC,-22.4552033333,-43.8371616667,413,15
BMA X JDF DIR AC,-21.738605,-43.3740583333,219,60
FAC VAS,-22.1144716667,-43.2057083333,442,1
FAC VAS,-22.4104366667,-43.663925,553,2
FAC VAS,-22.4104366667,-43.663925,553,2
PAR X VAS,-22.6119016667,-43.7113566667,27,1
PAR X VAS,-22.6043533333,-43.7002066667,28,3
PAR X VAS,-22.585675,-43.6910333333,29,4
PAR X VAS,-22.5624633333,-43.6876283333,32,8
PAR X VAS,-22.5552533333,-43.6834216667,33,9
PAR X VAS,-22.5534216667,-43.6916333333,35,12
PAR X VAS,-22.540115,-43.6993233333,36,14
PAR X VAS,-22.5306433333,-43.708745,37,17
PAR X VAS,-22.525975,-43.7288333333,38,18
PAR X VAS,-22.52321,-43.7356283333,39,20
PAR X VAS,-22.5197283333,-43.73992,40,21
PAR X VAS,-22.50323,-43.749465,41,22
PAR X VAS,-22.4730983333,-43.7473083333,43,25
PAR X VAS,-22.460345,-43.7304783333,44,26
PAR X VAS,-22.4858633333,-43.7492466667,74,23
PAR X VAS,-22.5673533333,-43.68812,79,7
PAR X VAS,-22.5486483333,-43.6816733333,81,13
PAR X VAS,-22.5842466667,-43.6906266667,85,5
PAR X VAS,-22.5770066667,-43.692885,86,6
PAR X VAS,-22.4780083333,-43.749485,120,24
PAR X VAS,-22.525765,-43.7311533333,179,19
PAR X VAS,-22.4056,-43.6654633333,2,31
MUR x BMA AC,-21.1281583333,-42.3698666667,292,1
MUR x BMA AC,-21.366295,-42.47483,288,9
MUR x BMA AC,-21.2818483333,-42.4168283333,289,8
MUR x BMA AC,-21.1286016667,-42.3844016667,291,2
MUR x BMA AC,-21.1281583333,-42.3698666667,292,1
MUR x BMA AC,-21.1463283333,-42.3809966667,353,3
MUR x BMA AC,-21.1838266667,-42.3697466667,354,4
MUR x BMA AC,-21.202165,-42.387215,355,5
MUR x BMA AC,-21.2261316667,-42.3949616667,356,6
MUR x BMA AC,-21.2445816667,-42.3939516667,357,7
MUR x BMA AC,-21.4392866667,-42.534005,358,10
MUR x BMA AC,-21.5017283333,-42.59789,359,11
MUR x BMA AC,-21.5266233333,-42.6331683333,408,12
MUR x BMA AC,-22.5453933333,-44.1693483333,112,107
TRS X BEM,-22.1153966667,-43.1978466667,158,1
TRS X BEM,-22.1251416667,-43.173715,181,2
TRS X BEM,-22.12257,-43.1567883333,182,3
TRS X BEM,-22.1022283333,-43.0948466667,253,4
TRS X BEM,-22.10236,-43.0865316667,254,5
TRS X BEM,-22.1062733333,-43.0782066667,255,6
TRS X BEM,-22.1417383333,-43.0968633333,565,7
FAC CES-VIANA,-21.7846166667,-43.356275,559,1
FAC CES-VIANA,-21.7846166667,-43.356275,559,1
FAC CES-VIANA,-21.762675,-43.352875,560,2
FAC CES-VIANA,-21.762675,-43.352875,560,2
JDF X ALP,-21.738605,-43.3740583333,219,1
JDF X ALP,-21.8814833333,-42.6938116667,378,36
PET X TRS DIR A/C,-22.5159083333,-43.229015,192,1
PET X TRS DIR A/C,-22.3859816667,-43.1356966667,188,5
PET X TRS DIR A/C,-22.5197166667,-43.2278333333,193,2
PET X TRS DIR A/C,-22.4846966667,-43.21569,194,3
PET X TRS DIR A/C,-22.4683866667,-43.2222666667,195,4
PET X TRS DIR A/C,-22.2530533333,-43.1065233333,198,6
PET X TRS DIR A/C,-22.2090266667,-43.1366133333,199,7
PET X TRS DIR A/C,-22.1989266667,-43.1569516667,200,8
PET X TRS DIR A/C,-22.1479216667,-43.1582533333,201,9
PET X TRS DIR A/C,-22.1153966667,-43.1978466667,158,13
ARE X SJO,-22.23554,-43.1021766667,453,1
ARE X SJO,-22.2516933333,-43.0735416667,541,3
ARE X SJO,-22.14941,-42.9207,548,9
VAL X TRS COM,-22.2478766667,-43.7081566667,512,1
VAL X TRS COM,-22.2368266667,-43.7013016667,513,2
VAL X TRS COM,-22.2109166667,-43.6309616667,514,4
VAL X TRS COM,-22.202265,-43.6125883333,515,5
VAL X TRS COM,-22.1781233333,-43.5922016667,516,6
VAL X TRS COM,-22.165075,-43.58569,517,7
VAL X TRS COM,-22.1176016667,-43.5606316667,518,8
VAL X TRS COM,-22.1116616667,-43.5538716667,519,9
VAL X TRS COM,-22.0880583333,-43.559605,520,10
VAL X TRS COM,-22.0814733333,-43.55176,521,11
VAL X TRS COM,-22.07708,-43.5058266667,522,12
VAL X TRS COM,-22.0742466667,-43.4964733333,523,13
VAL X TRS COM,-22.0615466667,-43.43922,524,14
VAL X TRS COM,-22.06015,-43.435835,525,15
VAL X TRS COM,-22.0115083333,-43.338975,527,17
VAL X TRS COM,-22.0112616667,-43.328365,528,18
VAL X TRS COM,-22.0187933333,-43.314445,529,19
VAL X TRS COM,-22.01874,-43.30876,530,20
VAL X TRS COM,-22.1153966667,-43.1978466667,158,29
TRS X JDF COM,-22.1153966667,-43.1978466667,158,1
TRS X JDF COM,-21.89716,-42.7172316667,273,24
TRS X JDF COM,-21.8872416667,-42.6974033333,274,25
TRS X JDF COM,-21.87994,-42.6821483333,275,26
TRS X JDF COM,-22.014725,-43.3107433333,467,8
TRS X JDF COM,-21.9726116667,-43.31586,468,9
TRS X JDF COM,-21.9590733333,-43.3193766667,469,10
TRS X JDF COM,-21.935385,-43.313755,470,11
TRS X JDF COM,-21.9541966667,-43.30062,471,12
TRS X JDF COM,-21.9262766667,-43.3190666667,472,13
TRS X JDF COM,-21.9128433333,-43.3380466667,473,14
TRS X JDF COM,-21.8846833333,-43.329465,474,15
TRS X JDF COM,-21.8729916667,-43.321055,475,16
TRS X JDF COM,-21.8616133333,-43.3122983333,476,17
TRS X JDF COM,-21.84172,-43.3133616667,477,18
TRS X JDF COM,-21.7677,-43.3303783333,480,21
TRS X JDF COM,-21.7439716667,-43.365705,536,22
TRS X JDF COM,-21.8814833333,-42.6938116667,378,28
FAC MACAHADO,-21.790905,-43.3407133333,561,1
FAC MACAHADO,-21.790905,-43.3407133333,561,1
FAC MACAHADO,-21.774095,-43.34818,563,3
FAC MACAHADO,-21.7708133333,-43.3508383333,564,2
FAC MACAHADO,-21.774095,-43.34818,563,3
ARE X TRS,-22.23554,-43.1021766667,453,1
ARE X TRS,-22.2333466667,-43.113825,567,2
ARE X TRS,-22.1153966667,-43.1978466667,158,6
VAS X BMA,-22.4056,-43.6654633333,2,1
VAS X BMA,-22.4806816667,-44.03887,93,24
VAS X BMA,-22.51048,-44.0833416667,97,25
VAS X BMA,-22.5168633333,-44.10822,99,27
VAS X BMA,-22.5448716667,-44.1535216667,102,32
VAS X BMA,-22.452805,-43.8322383333,110,15
VAS X BMA,-22.4498216667,-43.828395,414,14
VAS X BMA,-22.4552033333,-43.8371616667,416,16
VAS X BMA,-22.4573883333,-43.8428516667,417,17
VAS X BMA,-22.53149,-44.1381233333,427,31
VAS X BMA,-22.5453933333,-44.1693483333,112,33
BPI X VAS,-22.47101,-43.8249016667,59,1
BPI X VAS,-22.46428,-43.827465,61,3
BPI X VAS,-22.42646,-43.7668966667,63,8
BPI X VAS,-22.4295533333,-43.7447866667,64,10
BPI X VAS,-22.43509,-43.7291283333,65,12
BPI X VAS,-22.427825,-43.7127966667,66,13
BPI X VAS,-22.4103833333,-43.6719183333,84,16
BPI X VAS,-22.41307,-43.6714066667,161,17
BPI X VAS,-22.4672383333,-43.8299133333,420,2
BPI X VAS,-22.4056,-43.6654633333,2,18
SJO X ARE,-22.14941,-42.9207,548,1
SJO X ARE,-22.1717166667,-42.9583316667,569,5
SJO X ARE,-22.23554,-43.1021766667,453,7
TRS X VAL COM,-22.1153966667,-43.1978466667,158,1
TRS X VAL COM,-22.0088633333,-43.2622483333,464,5
TRS X VAL COM,-22.012985,-43.2725683333,465,6
TRS X VAL COM,-22.0189216667,-43.2957166667,466,7
TRS X VAL COM,-22.0184616667,-43.3139233333,494,8
TRS X VAL COM,-22.0100766667,-43.3257533333,495,9
TRS X VAL COM,-22.0114816667,-43.3389116667,496,10
TRS X VAL COM,-22.060115,-43.4355116667,497,12
TRS X VAL COM,-22.0619533333,-43.4400366667,498,13
TRS X VAL COM,-22.075425,-43.5018516667,500,14
TRS X VAL COM,-22.0818433333,-43.552175,501,15
TRS X VAL COM,-22.0871366667,-43.5596383333,502,16
TRS X VAL COM,-22.1108816667,-43.5541966667,503,17
TRS X VAL COM,-22.116685,-43.5594466667,504,18
TRS X VAL COM,-22.1643066667,-43.5852833333,506,19
TRS X VAL COM,-22.17828,-43.5923216667,507,20
TRS X VAL COM,-22.20179,-43.6117133333,508,21
TRS X VAL COM,-22.20998,-43.6297016667,509,22
TRS X VAL COM,-22.2190083333,-43.676455,510,23
TRS X VAL COM,-22.2361233333,-43.7006966667,511,24
TRS X VAL COM,-22.2478766667,-43.7081566667,512,25
TRS X VAL COM,-22.0290466667,-43.3802683333,526,11
TRS X VAL COM,-22.2478766667,-43.7081566667,512,25
ALP X MIR,-21.8814833333,-42.6938116667,378,1
ALP X MIR,-21.41608,-42.2016666667,552,7
ALP X MIR,-21.5483166667,-42.1753116667,572,6
ALP X MIR,-21.7457383333,-42.45943,575,4
ALP X MIR,-21.41608,-42.2016666667,552,7
BMA X VAS,-22.5453933333,-44.1693483333,112,1
BMA X VAS,-22.4539633333,-43.8114766667,62,14
BMA X VAS,-22.4881216667,-43.915045,88,12
BMA X VAS,-22.476545,-43.9436866667,89,11
BMA X VAS,-22.4848716667,-43.96383,90,10
BMA X VAS,-22.47466,-43.991715,91,9
BMA X VAS,-22.47574,-44.0049266667,92,8
BMA X VAS,-22.5140416667,-44.0984033333,98,5
BMA X VAS,-22.54971,-44.1606733333,106,2
BMA X VAS,-22.5465033333,-44.1550966667,107,3
BMA X VAS,-22.510995,-44.0845716667,108,6
BMA X VAS,-22.4663666667,-43.857825,111,13
BMA X VAS,-22.5453933333,-44.1693483333,112,1
BMA X VAS,-22.5176233333,-44.1108283333,114,4
BMA X VAS,-22.4808383333,-44.0409116667,118,7
BMA X VAS,-22.4056,-43.6654633333,2,27
BMA x MUR AC,-22.5453933333,-44.1693483333,112,1
BMA x MUR AC,-21.5266233333,-42.6331683333,287,87
BMA x MUR AC,-21.2021683333,-42.3860916667,290,90
BMA x MUR AC,-21.1281583333,-42.3698666667,292,92
VAS X PAR,-22.4056,-43.6654633333,2,1
VAS X PAR,-22.4602133333,-43.730405,6,5
VAS X PAR,-22.4729916667,-43.7477783333,7,6
VAS X PAR,-22.5020066667,-43.74956,8,9
VAS X PAR,-22.5134233333,-43.7490683333,9,10
VAS X PAR,-22.519855,-43.7394066667,10,11
VAS X PAR,-22.5238766667,-43.7354166667,11,12
VAS X PAR,-22.5254083333,-43.729485,13,14
